flash_index,sample_index,stimulus_code,stimulus_type,current_target,selected_target,selected_row,selected_column,phase,active_channels,active_count
0,1672,159,0,20,0,0,0,2,I_2_3|Z_5_2|8_6_5,3
1,1736,155,0,20,0,0,0,2,D_1_4|P_3_4|R_3_6|6_6_3,4
2,1800,158,0,20,0,0,0,2,F_1_6|K_2_5|3_5_6|4_6_1,4
3,1864,157,0,20,0,0,0,2,N_3_2|S_4_1|W_4_5,3
4,1928,156,0,20,0,0,0,2,B_1_2|G_2_1|U_4_3|1_5_4,4
5,1992,164,0,20,0,0,0,2,E_1_5|H_2_2|Sp_5_3,3
6,2056,160,0,20,0,0,0,2,A_1_1|J_2_4|V_4_4|Y_5_1,4
7,2120,161,0,20,0,0,0,2,Q_3_5|5_6_2|7_6_4,3
8,2184,162,0,20,0,0,0,2,C_1_3|M_3_1|X_4_6|2_5_5,4
9,2248,163,1,20,0,0,0,2,L_2_6|O_3_3|T_4_2|9_6_6,4
10,2312,165,0,20,0,0,0,2,D_1_4|F_1_6|S_4_1|Z_5_2|1_5_4,5
11,2376,167,0,20,0,0,0,2,G_2_1|P_3_4|W_4_5|3_5_6,4
12,2440,168,0,20,0,0,0,2,I_2_3|K_2_5|N_3_2|R_3_6|U_4_3,5
13,2504,166,0,20,0,0,0,2,B_1_2|4_6_1|6_6_3|8_6_5,4
14,2568,169,1,20,0,0,0,2,J_2_4|T_4_2|Sp_5_3|2_5_5|5_6_2,5
15,2632,170,0,20,0,0,0,2,A_1_1|C_1_3|E_1_5|O_3_3,4
16,2696,172,0,20,0,0,0,2,H_2_2|L_2_6|M_3_1|Q_3_5|V_4_4,5
17,2760,171,0,20,0,0,0,2,X_4_6|Y_5_1|7_6_4|9_6_6,4
18,2824,192,0,20,0,0,0,2,G_2_1|I_2_3|R_3_6|S_4_1,4
19,2888,195,0,20,0,0,0,2,B_1_2|N_3_2|U_4_3,3
20,2952,194,0,20,0,0,0,2,D_1_4|3_5_6|6_6_3|8_6_5,4
21,3016,191,0,20,0,0,0,2,F_1_6|W_4_5|1_5_4,3
22,3080,193,0,20,0,0,0,2,K_2_5|P_3_4|Z_5_2|4_6_1,4
23,3144,196,1,20,0,0,0,2,E_1_5|T_4_2|5_6_2,3
24,3208,198,0,20,0,0,0,2,V_4_4|Y_5_1|2_5_5,3
25,3272,200,0,20,0,0,0,2,A_1_1|X_4_6|Sp_5_3|7_6_4,4
26,3336,197,0,20,0,0,0,2,C_1_3|L_2_6|Q_3_5|9_6_6,4
27,3400,199,0,20,0,0,0,2,H_2_2|J_2_4|M_3_1|O_3_3,4
28,3464,201,0,20,0,0,0,2,B_1_2|F_1_6|R_3_6|3_5_6|4_6_1,5
29,3528,204,0,20,0,0,0,2,G_2_1|P_3_4|U_4_3|8_6_5,4
30,3592,202,0,20,0,0,0,2,D_1_4|S_4_1|Z_5_2|1_5_4,4
31,3656,203,0,20,0,0,0,2,I_2_3|K_2_5|N_3_2|W_4_5|6_6_3,5
32,3720,207,0,20,0,0,0,2,J_2_4|Y_5_1|Sp_5_3|9_6_6,4
33,3784,208,0,20,0,0,0,2,E_1_5|O_3_3|Q_3_5|X_4_6,4
34,3848,205,1,20,0,0,0,2,C_1_3|M_3_1|T_4_2|V_4_4|7_6_4,5
35,3912,206,0,20,0,0,0,2,A_1_1|H_2_2|L_2_6|2_5_5|5_6_2,5
36,3976,245,0,20,0,0,0,2,G_2_1|N_3_2|3_5_6|8_6_5,4
37,4040,247,0,20,0,0,0,2,D_1_4|P_3_4|W_4_5,3
38,4104,248,0,20,0,0,0,2,B_1_2|I_2_3|R_3_6|S_4_1,4
39,4168,246,0,20,0,0,0,2,K_2_5|4_6_1|6_6_3,3
40,4232,249,0,20,0,0,0,2,F_1_6|U_4_3|Z_5_2|1_5_4,4
41,4296,254,1,20,0,0,0,2,C_1_3|H_2_2|T_4_2,3
42,4360,250,0,20,0,0,0,2,L_2_6|Q_3_5|2_5_5|9_6_6,4
43,4424,253,0,20,0,0,0,2,A_1_1|Y_5_1|7_6_4,3
44,4488,252,0,20,0,0,0,2,M_3_1|V_4_4|X_4_6|5_6_2,4
45,4552,251,0,20,0,0,0,2,E_1_5|J_2_4|O_3_3|Sp_5_3,4
46,4616,258,0,20,0,0,0,2,D_1_4|S_4_1|U_4_3|3_5_6|6_6_3,5
47,4680,257,0,20,0,0,0,2,B_1_2|N_3_2|W_4_5|Z_5_2,4
48,4744,256,0,20,0,0,0,2,G_2_1|I_2_3|P_3_4|1_5_4|4_6_1,5
49,4808,255,0,20,0,0,0,2,F_1_6|K_2_5|R_3_6|8_6_5,4
50,4872,260,0,20,0,0,0,2,E_1_5|L_2_6|X_4_6|Y_5_1,4
51,4936,259,1,20,0,0,0,2,A_1_1|J_2_4|M_3_1|T_4_2|2_5_5,5
52,5000,261,0,20,0,0,0,2,C_1_3|Q_3_5|V_4_4|Sp_5_3|7_6_4,5
53,5064,262,0,20,0,0,0,2,H_2_2|O_3_3|5_6_2|9_6_6,4
54,5128,228,0,20,0,0,0,2,P_3_4|R_3_6|S_4_1,3
55,5192,231,0,20,0,0,0,2,G_2_1|U_4_3|Z_5_2|3_5_6,4
56,5256,227,0,20,0,0,0,2,D_1_4|K_2_5|N_3_2|1_5_4,4
57,5320,230,0,20,0,0,0,2,F_1_6|4_6_1|8_6_5,3
58,5384,229,0,20,0,0,0,2,B_1_2|I_2_3|W_4_5|6_6_3,4
59,5448,232,1,20,0,0,0,2,J_2_4|T_4_2|5_6_2,3
60,5512,235,0,20,0,0,0,2,A_1_1|Q_3_5|2_5_5|9_6_6,4
61,5576,233,0,20,0,0,0,2,H_2_2|M_3_1|O_3_3|V_4_4,4
62,5640,234,0,20,0,0,0,2,C_1_3|Y_5_1|7_6_4,3
63,5704,236,0,20,0,0,0,2,E_1_5|L_2_6|X_4_6|Sp_5_3,4
64,5768,238,0,20,0,0,0,2,G_2_1|K_2_5|6_6_3|8_6_5,4
65,5832,237,0,20,0,0,0,2,F_1_6|N_3_2|P_3_4|W_4_5|Z_5_2,5
66,5896,240,0,20,0,0,0,2,I_2_3|R_3_6|U_4_3|1_5_4|4_6_1,5
67,5960,239,0,20,0,0,0,2,B_1_2|D_1_4|S_4_1|3_5_6,4
68,6024,241,0,20,0,0,0,2,A_1_1|L_2_6|O_3_3|Y_5_1,4
69,6088,243,0,20,0,0,0,2,J_2_4|V_4_4|Sp_5_3|7_6_4|9_6_6,5
70,6152,244,1,20,0,0,0,2,M_3_1|T_4_2|X_4_6|2_5_5,4
71,6216,242,0,20,0,0,0,2,C_1_3|E_1_5|H_2_2|Q_3_5|5_6_2,5
72,6280,263,0,20,0,0,0,2,G_2_1|3_5_6|6_6_3,3
73,6344,267,0,20,0,0,0,2,K_2_5|P_3_4|1_5_4|4_6_1,4
74,6408,265,0,20,0,0,0,2,F_1_6|R_3_6|S_4_1,3
75,6472,264,0,20,0,0,0,2,I_2_3|N_3_2|U_4_3|8_6_5,4
76,6536,266,0,20,0,0,0,2,B_1_2|D_1_4|W_4_5|Z_5_2,4
77,6600,271,1,20,0,0,0,2,A_1_1|L_2_6|T_4_2|9_6_6,4
78,6664,272,0,20,0,0,0,2,J_2_4|X_4_6|5_6_2|7_6_4,4
79,6728,268,0,20,0,0,0,2,H_2_2|V_4_4|Y_5_1|Sp_5_3,4
80,6792,269,0,20,0,0,0,2,E_1_5|Q_3_5|2_5_5,3
81,6856,270,0,20,0,0,0,2,C_1_3|M_3_1|O_3_3,3
82,6920,275,0,20,0,0,0,2,K_2_5|S_4_1|U_4_3|W_4_5|6_6_3,5
83,6984,276,0,20,0,0,0,2,B_1_2|I_2_3|3_5_6|4_6_1,4
84,7048,273,0,20,0,0,0,2,R_3_6|Z_5_2|1_5_4|8_6_5,4
85,7112,274,0,20,0,0,0,2,D_1_4|F_1_6|G_2_1|N_3_2|P_3_4,5
86,7176,279,0,20,0,0,0,2,L_2_6|M_3_1|Q_3_5|V_4_4|X_4_6,5
87,7240,278,0,20,0,0,0,2,A_1_1|O_3_3|Sp_5_3|5_6_2,4
88,7304,277,0,20,0,0,0,2,C_1_3|E_1_5|J_2_4|Y_5_1|9_6_6,5
89,7368,280,1,20,0,0,0,2,H_2_2|T_4_2|2_5_5|7_6_4,4
90,7432,137,0,20,0,0,0,2,I_2_3|N_3_2|S_4_1|Z_5_2,4
91,7496,140,0,20,0,0,0,2,K_2_5|1_5_4|3_5_6,3
92,7560,141,0,20,0,0,0,2,P_3_4|U_4_3|4_6_1|6_6_3,4
93,7624,138,0,20,0,0,0,2,B_1_2|F_1_6|G_2_1|8_6_5,4
94,7688,139,0,20,0,0,0,2,D_1_4|R_3_6|W_4_5,3
95,7752,146,0,20,0,0,0,2,H_2_2|M_3_1|5_6_2,3
96,7816,143,0,20,0,0,0,2,J_2_4|L_2_6|Q_3_5|V_4_4,4
97,7880,144,1,20,0,0,0,2,C_1_3|T_4_2|7_6_4|9_6_6,4
98,7944,145,0,20,0,0,0,2,A_1_1|O_3_3|2_5_5,3
99,8008,142,0,20,0,0,0,2,E_1_5|X_4_6|Y_5_1|Sp_5_3,4
100,8072,148,0,20,0,0,0,2,D_1_4|F_1_6|K_2_5|N_3_2|U_4_3,5
101,8136,147,0,20,0,0,0,2,B_1_2|I_2_3|P_3_4|W_4_5,4
102,8200,149,0,20,0,0,0,2,R_3_6|S_4_1|1_5_4|4_6_1|8_6_5,5
103,8264,150,0,20,0,0,0,2,G_2_1|Z_5_2|3_5_6|6_6_3,4
104,8328,153,0,20,0,0,0,2,C_1_3|E_1_5|O_3_3|V_4_4|5_6_2,5
105,8392,154,0,20,0,0,0,2,H_2_2|L_2_6|X_4_6|2_5_5|7_6_4,5
106,8456,152,0,20,0,0,0,2,M_3_1|Q_3_5|Y_5_1|9_6_6,4
107,8520,151,1,20,0,0,0,2,A_1_1|J_2_4|T_4_2|Sp_5_3,4
108,8584,173,0,20,0,0,0,2,D_1_4|G_2_1|R_3_6|Z_5_2,4
109,8648,176,0,20,0,0,0,2,F_1_6|U_4_3|W_4_5|1_5_4,4
110,8712,174,0,20,0,0,0,2,N_3_2|P_3_4|8_6_5,3
111,8776,177,0,20,0,0,0,2,K_2_5|3_5_6|4_6_1|6_6_3,4
112,8840,175,0,20,0,0,0,2,B_1_2|I_2_3|S_4_1,3
113,8904,180,0,20,0,0,0,2,J_2_4|M_3_1|2_5_5,3
114,8968,181,0,20,0,0,0,2,A_1_1|E_1_5|H_2_2|5_6_2,4
115,9032,182,0,20,0,0,0,2,L_2_6|V_4_4|9_6_6,3
116,9096,178,0,20,0,0,0,2,C_1_3|X_4_6|Sp_5_3|7_6_4,4
117,9160,179,1,20,0,0,0,2,O_3_3|Q_3_5|T_4_2|Y_5_1,4
118,9224,184,0,20,0,0,0,2,K_2_5|R_3_6|S_4_1|1_5_4,4
119,9288,183,0,20,0,0,0,2,G_2_1|I_2_3|N_3_2|W_4_5|4_6_1,5
120,9352,186,0,20,0,0,0,2,B_1_2|D_1_4|F_1_6|6_6_3|8_6_5,5
121,9416,185,0,20,0,0,0,2,P_3_4|U_4_3|Z_5_2|3_5_6,4
122,9480,188,0,20,0,0,0,2,A_1_1|C_1_3|M_3_1|O_3_3,4
123,9544,187,1,20,0,0,0,2,T_4_2|Sp_5_3|2_5_5|5_6_2|9_6_6,5
124,9608,190,0,20,0,0,0,2,E_1_5|J_2_4|V_4_4|Y_5_1|7_6_4,5
125,9672,189,0,20,0,0,0,2,H_2_2|L_2_6|Q_3_5|X_4_6,4
126,9736,211,0,20,0,0,0,2,F_1_6|K_2_5|R_3_6|W_4_5,4
127,9800,212,0,20,0,0,0,2,P_3_4|S_4_1|U_4_3|3_5_6,4
128,9864,213,0,20,0,0,0,2,G_2_1|1_5_4|4_6_1|6_6_3,4
129,9928,209,0,20,0,0,0,2,B_1_2|D_1_4|Z_5_2,3
130,9992,210,0,20,0,0,0,2,I_2_3|N_3_2|8_6_5,3
131,10056,215,0,20,0,0,0,2,J_2_4|O_3_3|Q_3_5|9_6_6,4
132,10120,216,0,20,0,0,0,2,C_1_3|E_1_5|X_4_6|Y_5_1,4
133,10184,217,0,20,0,0,0,2,A_1_1|M_3_1|Sp_5_3,3
134,10248,214,0,20,0,0,0,2,H_2_2|V_4_4|2_5_5|7_6_4,4
135,10312,218,1,20,0,0,0,2,L_2_6|T_4_2|5_6_2,3
136,10376,221,0,20,0,0,0,2,B_1_2|G_2_1|K_2_5|P_3_4,4
137,10440,220,0,20,0,0,0,2,F_1_6|U_4_3|6_6_3|8_6_5,4
138,10504,219,0,20,0,0,0,2,D_1_4|N_3_2|W_4_5|3_5_6|4_6_1,5
139,10568,222,0,20,0,0,0,2,I_2_3|R_3_6|S_4_1|Z_5_2|1_5_4,5
140,10632,224,0,20,0,0,0,2,V_4_4|X_4_6|5_6_2|9_6_6,4
141,10696,223,1,20,0,0,0,2,A_1_1|H_2_2|J_2_4|T_4_2|Y_5_1,5
142,10760,225,0,20,0,0,0,2,C_1_3|M_3_1|Q_3_5|2_5_5,4
143,10824,226,0,20,0,0,0,2,E_1_5|L_2_6|O_3_3|Sp_5_3|7_6_4,5
144,10888,105,0,20,0,0,0,2,F_1_6|U_4_3|3_5_6|6_6_3,4
145,10952,101,0,20,0,0,0,2,G_2_1|W_4_5|8_6_5,3
146,11016,103,0,20,0,0,0,2,I_2_3|P_3_4|S_4_1|Z_5_2,4
147,11080,104,0,20,0,0,0,2,B_1_2|N_3_2|R_3_6|4_6_1,4
148,11144,102,0,20,0,0,0,2,D_1_4|K_2_5|1_5_4,3
149,11208,106,0,20,0,0,0,2,A_1_1|M_3_1|V_4_4|7_6_4,4
150,11272,109,0,20,0,0,0,2,J_2_4|L_2_6|O_3_3|2_5_5,4
151,11336,107,0,20,0,0,0,2,C_1_3|E_1_5|H_2_2|Sp_5_3,4
152,11400,108,0,20,0,0,0,2,Q_3_5|Y_5_1|9_6_6,3
153,11464,110,1,20,0,0,0,2,T_4_2|X_4_6|5_6_2,3
154,11528,114,0,20,0,0,0,2,F_1_6|G_2_1|N_3_2|Z_5_2,4
155,11592,113,0,20,0,0,0,2,D_1_4|I_2_3|W_4_5|4_6_1|6_6_3,5
156,11656,111,0,20,0,0,0,2,B_1_2|K_2_5|S_4_1|U_4_3|8_6_5,5
157,11720,112,0,20,0,0,0,2,P_3_4|R_3_6|1_5_4|3_5_6,4
158,11784,115,0,20,0,0,0,2,L_2_6|M_3_1|Q_3_5|X_4_6|Sp_5_3,5
159,11848,116,0,20,0,0,0,2,C_1_3|O_3_3|5_6_2|7_6_4,4
160,11912,117,1,20,0,0,0,2,A_1_1|H_2_2|J_2_4|T_4_2|Y_5_1,5
161,11976,118,0,20,0,0,0,2,E_1_5|V_4_4|2_5_5|9_6_6,4
162,12040,122,0,20,0,0,0,2,I_2_3|K_2_5|P_3_4,3
163,12104,119,0,20,0,0,0,2,F_1_6|R_3_6|3_5_6,3
164,12168,121,0,20,0,0,0,2,D_1_4|1_5_4|6_6_3|8_6_5,4
165,12232,123,0,20,0,0,0,2,B_1_2|S_4_1|W_4_5|4_6_1,4
166,12296,120,0,20,0,0,0,2,G_2_1|N_3_2|U_4_3|Z_5_2,4
167,12360,127,1,20,0,0,0,2,T_4_2|2_5_5|9_6_6,3
168,12424,124,0,20,0,0,0,2,L_2_6|X_4_6|Sp_5_3|5_6_2,4
169,12488,125,0,20,0,0,0,2,E_1_5|Q_3_5|Y_5_1,3
170,12552,126,0,20,0,0,0,2,A_1_1|M_3_1|V_4_4|7_6_4,4
171,12616,128,0,20,0,0,0,2,C_1_3|H_2_2|J_2_4|O_3_3,4
172,12680,129,0,20,0,0,0,2,D_1_4|N_3_2|P_3_4|R_3_6|4_6_1,5
173,12744,132,0,20,0,0,0,2,K_2_5|U_4_3|W_4_5|3_5_6|8_6_5,5
174,12808,131,0,20,0,0,0,2,I_2_3|S_4_1|Z_5_2|1_5_4,4
175,12872,130,0,20,0,0,0,2,B_1_2|F_1_6|G_2_1|6_6_3,4
176,12936,135,1,20,0,0,0,2,M_3_1|O_3_3|Q_3_5|T_4_2|X_4_6,5
177,13000,136,0,20,0,0,0,2,C_1_3|E_1_5|5_6_2|7_6_4,4
178,13064,134,0,20,0,0,0,2,H_2_2|L_2_6|V_4_4|Y_5_1|9_6_6,5
179,13128,133,0,20,0,0,0,2,A_1_1|J_2_4|Sp_5_3|2_5_5,4
180,14472,392,0,8,0,0,0,2,D_1_4|K_2_5|N_3_2|Z_5_2,4
181,14536,389,0,8,0,0,0,2,I_2_3|W_4_5|3_5_6|6_6_3,4
182,14600,390,0,8,0,0,0,2,G_2_1|S_4_1|4_6_1,3
183,14664,391,0,8,0,0,0,2,F_1_6|P_3_4|U_4_3,3
